UID          PID    PPID  C STIME TTY          TIME CMD
mysql       3660    3435  0  2023 ?        10:24:34 /usr/libexec/mysqld --basedir=/usr --datadir=/var/lib/mysql --plugin-dir=/usr/lib64/mysql/plugin --log-error=/var/log/mariadb/mariadb.log --pid-file=/var/run/mariadb/mariadb.pid --socket=/var/lib/mysql/mysql.sock
nobody      3692       1  0  2023 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root        3693    3692  0  2023 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root        3801       1  0  2023 ?        07:48:58 /opt/dell/srvadmin/sbin/dsm_sa_datamgrd
root        3812    3625  0  2023 ?        1-18:52:41 condor_procd -A /var/run/condor/procd_pipe -L /var/log/condor/ProcLog -R 1000000 -S 60 -C 106
condor      3813    3625  0  2023 ?        01:45:05 condor_shared_port
condor      3814    3625  0  2023 ?        1-05:06:48 condor_collector
condor      3818    3625  0  2023 ?        00:30:05 condor_had -sock had
condor      3819    3625  0  2023 ?        1-15:58:38 condor_schedd
root        3986    2898  0  2023 ?        00:00:01 ../jre/bin/java -classpath ../jre/lib/rt.jar:../jre/lib/jsse.jar:../jre/lib/jce.jar:mail.jar:Framework.jar -Djava.library.path=. Framework.FrameworkManager
cvmfs       4014       1  0  2023 ?        09:42:25 /usr/bin/cvmfs2 __cachemgr__ . 7 8 31457280000 15728640000 0 3 -1 :
cvmfs       4018       1  0  2023 ?        00:00:00 /usr/bin/cvmfs2 __cachemgr__ . 7 8 31457280000 15728640000 0 3 -1 :
cvmfs       4023       1  0  2023 ?        00:51:35 /usr/bin/cvmfs2 -o rw,system_mount,fsname=cvmfs2,allow_other,grab_mountpoint,uid=989,gid=982 cvmfs-config.cern.ch /cvmfs/cvmfs-config.cern.ch
cvmfs       4027       1  0  2023 ?        00:00:00 /usr/bin/cvmfs2 -o rw,system_mount,fsname=cvmfs2,allow_other,grab_mountpoint,uid=989,gid=982 cvmfs-config.cern.ch /cvmfs/cvmfs-config.cern.ch
root        4109       1  0  2023 ?        00:18:41 /opt/dell/srvadmin/sbin/dsm_sa_eventmgrd
root        4129       1  0  2023 ?        04:14:14 /opt/dell/srvadmin/sbin/dsm_sa_snmpd
root        4142    3801  0  2023 ?        00:00:00 /opt/dell/srvadmin/sbin/dsm_sa_datamgrd
root        4175       1  0  2023 ?        00:00:00 /opt/dell/srvadmin/sbin/dsm_om_connsvcd -run
root        4176    4175  0  2023 ?        19:01:13 /opt/dell/srvadmin/sbin/dsm_om_connsvcd -run
cvmfs       4208       1  0  2023 ?        05:15:55 /usr/bin/cvmfs2 -o rw,system_mount,fsname=cvmfs2,allow_other,grab_mountpoint,uid=989,gid=982 sft.cern.ch /cvmfs/sft.cern.ch
cvmfs       4212       1  0  2023 ?        00:00:00 /usr/bin/cvmfs2 -o rw,system_mount,fsname=cvmfs2,allow_other,grab_mountpoint,uid=989,gid=982 sft.cern.ch /cvmfs/sft.cern.ch
root        4590       1  0  2023 ?        00:12:10 /usr/libexec/packagekitd
root        4796       1  0  2023 ?        2-12:19:43 /usr/sbin/glusterfs --process-name fuse --volfile-server=172.30.1.104 --volfile-id=/gv0 /gv0
mioh       10882       1  0 Jun13 ?        00:00:00 ssh-agent -s
root       19473 4182646  0 03:16 ?        00:00:00 /bin/bash /bin/run-parts /etc/cron.daily
root       19623   19473  0 03:16 ?        00:00:00 /bin/sh /etc/cron.daily/mlocate
root       19624   19473  0 03:16 ?        00:00:00 awk -v progname=/etc/cron.daily/mlocate progname { ....   print progname ":\n" ....   progname=""; ...       } ...       { print; }
root       19629   19623  1 03:16 ?        00:11:00 /usr/bin/updatedb -f sysfs ramfs bdev proc cgroup cpuset tmpfs devtmpfs debugfs securityfs sockfs dax bpf pipefs configfs devpts hugetlbfs autofs pstore mqueue fuse fusectl rpc_pipefs nfsd overlay
youngwan   23428       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan   23868       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan   24043       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan   24295       1  0 Jul23 pts/222  00:00:00 /bin/bash --init-file /home/youngwan/.vscode-server/bin/f1b07bd25dfad64b0167beb15359ae573aecd2cc/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
youngwan   24494       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan   33397       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   42559       1  0 Jun30 ?        00:00:00 ssh-agent -s
youngwan   42830       1  0 Jun30 ?        00:00:00 ssh-agent -s
youngwan   50758       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   50769       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   50859       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   51263       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   51349       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   51428       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   51738       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   52130       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   52356       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   52601       1  0 Jul12 pts/195  00:00:00 /bin/bash --init-file /home/youngwan/.vscode-server/bin/f1b07bd25dfad64b0167beb15359ae573aecd2cc/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
youngwan   52795       1  0 Jul12 ?        00:00:00 ssh-agent -s
youngwan   89490       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan   89710       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan   90190       1  0 Jul23 pts/98   00:00:00 /bin/bash --init-file /home/youngwan/.vscode-server/bin/f1b07bd25dfad64b0167beb15359ae573aecd2cc/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
youngwan   90361       1  0 Jul23 ?        00:00:00 ssh-agent -s
sbhan      91694 2513939  0 Jun23 pts/134  00:00:00 vim analysis_higgs_dimu_v4.cpp
kplee     123548       1  0  2023 ?        00:00:00 SCREEN -S tnp
kplee     123549  123548  0  2023 pts/496  00:00:00 /bin/bash
youngwan  126795       1  0 Jul09 ?        00:00:00 ssh-agent -s
youngwan  127049       1  0 Jul09 ?        00:00:00 ssh-agent -s
youngwan  130663       1  0 Jul24 ?        00:00:00 ssh-agent -s
youngwan  130693       1  0 Jul24 ?        00:00:00 ssh-agent -s
youngwan  130698       1  0 Jul24 ?        00:00:00 ssh-agent -s
youngwan  131088       1  0 Jul24 ?        00:00:00 ssh-agent -s
jhchoi    132402 1655611  0 Jan09 pts/654  00:00:01 -bash
youngwan  145566       1  0 Jul06 ?        00:00:00 ssh-agent -s
youngwan  146055       1  0 Jul06 ?        00:00:00 ssh-agent -s
youngwan  146289       1  0 Jul06 ?        00:00:00 ssh-agent -s
youngwan  146735       1  0 Jul06 ?        00:00:00 ssh-agent -s
youngwan  147044       1  0 Jul06 ?        00:00:00 ssh-agent -s
root      151731    2822  0  2023 ?        00:00:00 sshd: youngwan [priv]
youngwan  151733  151731  0  2023 ?        00:00:01 [sshd] <defunct>
jhchoi    166324 1655611  0 Jan09 pts/656  00:00:10 -bash
suoh      244215       1  0  2023 ?        00:00:00 ssh-agent -s
youngwan  270416       1  0 Jun20 ?        00:00:00 ssh-agent -s
root      274025       2  0 May11 ?        00:12:20 [kworker/3:2H]
youngwan  282691       1  0 Jul16 ?        00:00:00 ssh-agent -s
youngwan  283076       1  0 Jul16 ?        00:00:00 ssh-agent -s
youngwan  283272       1  0 Jun20 ?        00:00:00 ssh-agent -s
youngwan  283737       1  0 Jul16 ?        00:00:00 ssh-agent -s
youngwan  284420       1  0 Jul23 pts/233  00:00:00 /bin/bash --init-file /home/youngwan/.vscode-server/bin/f1b07bd25dfad64b0167beb15359ae573aecd2cc/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
youngwan  284663       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  287163       1  0 Jun23 ?        00:00:00 ssh-agent -s
youngwan  287698       1  0 Jun23 ?        00:00:00 ssh-agent -s
youngwan  287910       1  0 Jun23 ?        00:00:00 ssh-agent -s
youngwan  288263       1  0 Jun23 ?        00:00:00 ssh-agent -s
youngwan  288422       1  0 Jun23 pts/36   00:00:00 /bin/bash --init-file /home/youngwan/.vscode-server/bin/f1b07bd25dfad64b0167beb15359ae573aecd2cc/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
youngwan  288599       1  0 Jun23 ?        00:00:00 ssh-agent -s
jhchoi    297671  166324  0 Jan19 pts/656  00:00:01 emacs -nw test_mother_511_lepton_daughter.log
youngwan  315894       1  0 Jun20 ?        00:00:00 ssh-agent -s
youngwan  316227       1  0 Jun20 ?        00:00:00 ssh-agent -s
youngwan  318923  284420  0 Jul23 pts/233  00:33:54 python /data9/Users/youngwan/work/SKFlatAnalyzer_Sandbox/python/SKFlat.py -a SkimTree_SingleTau -l SubmitLists/Bkg_All_noSkim.txt -n 100 -e 2016preVFP
youngwan  318925  284420  0 Jul23 pts/233  00:33:16 python /data9/Users/youngwan/work/SKFlatAnalyzer_Sandbox/python/SKFlat.py -a SkimTree_SingleTau -l SubmitLists/Bkg_All_noSkim.txt -n 100 -e 2017
youngwan  321960       1  0 Jun23 ?        00:00:00 ssh-agent -s
youngwan  322302       1  0 Jun23 ?        00:00:00 ssh-agent -s
youngwan  323527       1  0 Jun23 ?        00:00:00 ssh-agent -s
youngwan  324020       1  0 Jun20 ?        00:00:00 ssh-agent -s
youngwan  324288       1  0 Jun20 ?        00:00:00 ssh-agent -s
youngwan  324775       1  0 Jun20 ?        00:00:00 ssh-agent -s
youngwan  328791       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  329063       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  329497       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  330288       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  343068       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  343370       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  343795       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  344377       1  0 Jun28 pts/64   00:00:00 /bin/bash --init-file /home/youngwan/.vscode-server/bin/f1b07bd25dfad64b0167beb15359ae573aecd2cc/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
youngwan  344552       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  361546       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  361833       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  362778       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  399609       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  400112       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  400764       1  0 Jul23 ?        00:00:00 ssh-agent -s
youngwan  422705       1  0 Jul09 ?        00:00:00 ssh-agent -s
youngwan  422952       1  0 Jul09 ?        00:00:00 ssh-agent -s
youngwan  441591       1  0 Jun24 ?        00:00:00 ssh-agent -s
youngwan  441592       1  0 Jun24 ?        00:00:00 ssh-agent -s
youngwan  442108       1  0 Jun24 ?        00:00:00 ssh-agent -s
youngwan  442109       1  0 Jun24 ?        00:00:00 ssh-agent -s
youngwan  442369       1  0 Jun24 ?        00:00:00 ssh-agent -s
yeonjoon  456711       1  0  2023 ?        00:00:00 -zsh
root      516674       2  0 May21 ?        01:21:08 [kworker/7:1H]
root      516675       2  0 May21 ?        01:33:33 [kworker/3:1H]
sbhan     533331       1  0  2023 ?        00:28:30 tmux
sbhan     533332  533331  0  2023 pts/108  00:00:00 -bash
youngwan  550032       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  550033       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  550034       1  0 Jun28 ?        00:00:00 ssh-agent -s
youngwan  550388       1  0 Jun28 ?        00:00:00 ssh-agent -s
mioh      570797       1  0 Jun25 ?        00:00:00 ssh-agent -s
youngwan  604855       1  0 Jul06 ?        00:00:00 ssh-agent -s
youngwan  614549       1  0 Jul06 ?        00:00:00 ssh-agent -s
youngwan  614958       1  0 Jul06 ?        00:00:00 ssh-agent -s
youngwan  621006       1  0 Jul24 ?        00:00:00 ssh-agent -s
youngwan  621007       1  0 Jul24 ?        00:00:00 ssh-agent -s
youngwan  621397       1  0 Jul24 ?        00:00:00 ssh-agent -s
